points	2519.75	404.55	8	4
mmm	4246.53	933.02	44	40
loop200	24383.11	8523.09	601	601
loop800	210409.43	32857.57	2401	2401
gcd	2442.35	370.42	5	4
hanoifibfac	2771.01	491.73	15	4
loop60	10884.95	3740.17	181	181
prime	2701.16	494.34	13	13
rational	3327.36	564.86	19	9
loop400	62511.70	15725.24	1201	1201
loop80	11209.04	3543.80	241	241
struct	3017.34	422.12	7	7
loop40	7038.75	1964.14	121	121
sieve	2787.62	525.91	16	16
link	2539.14	417.50	9	4
loop20	4022.36	1180.55	61	61
loop	2755.75	578.22	19	19
loop100	12901.35	4275.82	301	301
class	2441.82	362.62	5	3
sort	2903.22	549.99	18	18
regslarge	14768.03	356.24	4	4
